side,bp,tot,kv,truth,model,ape,stratum
new,1,512,256,34.91083439439535,32.492998987436295,0.06925745112947575,A
old,1,512,256,34.91083439439535,34.26141478121281,0.018602236940140387,A
new,1,512,1024,34.35717150568962,32.168127596378326,0.06371432261089316,A
old,1,512,1024,34.35717150568962,37.07712143659592,0.0791668758429624,A
new,1,512,4096,36.420220509171486,32.027220353484154,0.12061981213378621,A
old,1,512,4096,36.420220509171486,37.84003295004368,0.03898418024445101,A
new,1,512,608,33.781303092837334,31.163476097945388,0.07749336926694829,B
old,1,512,608,33.781303092837334,31.318478009944155,0.07290497575315184,B
new,1,512,2144,35.42068973183632,31.512873651631384,0.11032580420625088,B
old,1,512,2144,35.42068973183632,35.648858775567284,0.006441688331266042,B
new,1,1024,0,43.0829469114542,42.219795286655426,0.02003464680753521,A
old,1,1024,0,43.0829469114542,76.94535329937935,0.785981665959864,A
new,1,1024,256,43.39182749390602,41.96624644100666,0.0328536762619544,A
old,1,1024,256,43.39182749390602,76.93078182637691,0.7729325144736328,A
new,1,1024,1024,43.96740905940533,39.9050060659647,0.09239577860846489,A
old,1,1024,1024,43.96740905940533,78.62972654402256,0.7883638864820126,A
new,1,1024,4096,47.07714915275574,45.71366682648659,0.028962720785086795,A
old,1,1024,4096,47.07714915275574,77.86218635737896,0.653927388524145,A
new,1,1024,608,44.02889683842659,41.582536135379634,0.055562616343180195,B
old,1,1024,608,44.02889683842659,80.54151449887277,0.8292875879774368,B
new,1,1024,2144,45.434894040226936,43.613472814615754,0.04008859851193976,B
old,1,1024,2144,45.434894040226936,79.55651203954824,0.7510002767720964,B
new,1,2048,0,61.4891741424799,60.488706454634666,0.01627063140459477,A
old,1,2048,0,61.4891741424799,85.69411933422089,0.39364563810296754,A
new,1,2048,256,61.586761847138405,61.30067817866802,0.004645213677258393,A
old,1,2048,256,61.586761847138405,83.5803672671318,0.35711579502398083,A
new,1,2048,1024,63.420552760362625,62.66060471534729,0.011982677727310775,A
old,1,2048,1024,63.420552760362625,82.37829059362411,0.29892104385930135,A
new,1,2048,4096,69.08062472939491,67.47332029044628,0.02326708024492861,A
old,1,2048,4096,69.08062472939491,82.07470364868641,0.18810019408759499,A
new,1,2048,16384,90.99937975406647,91.47889539599419,0.0052694385744567794,A
old,1,2048,16384,90.99937975406647,97.16024249792099,0.06770224984505142,A
new,1,2048,65536,179.60508726537228,180.5607881397009,0.005321123632297422,A
old,1,2048,65536,179.60508726537228,194.26346756517887,0.08161450503987322,A
new,1,2048,608,63.480496406555176,62.10739729608019,0.021630251623760127,B
old,1,2048,608,63.480496406555176,85.83968546221581,0.3522213958829686,B
new,1,2048,2144,65.55266864597797,64.35088987937574,0.01833302581611935,B
old,1,2048,2144,65.55266864597797,83.40291796768565,0.2723039304182911,B
new,1,2048,8384,76.6990352421999,75.0414655780425,0.02161134959420449,B
old,1,2048,8384,76.6990352421999,83.1647807544306,0.08430021957659822,B
new,1,4096,0,108.32772962749004,105.85150308907032,0.022858658137992934,A
old,1,4096,0,108.32772962749004,110.78871972858906,0.02271800682578411,A
new,1,4096,256,108.55592414736748,110.99513247609138,0.02246960124822501,A
old,1,4096,256,108.55592414736748,110.79623363912106,0.02063737662729765,A
new,1,4096,1024,110.66472344100475,108.2046702504158,0.022229786639284405,A
old,1,4096,1024,110.66472344100475,112.4551072716713,0.01617845122633857,A
new,1,4096,4096,119.36637572944164,116.9231329113245,0.020468434290532935,A
old,1,4096,4096,119.36637572944164,127.20341049134731,0.06565529625921841,A
new,1,4096,16384,150.5007352679968,149.91890639066696,0.003865953719719463,A
old,1,4096,16384,150.5007352679968,160.85181012749672,0.06877757003025775,A
new,1,4096,65536,275.3729782998562,279.2081907391548,0.013927337616701198,A
old,1,4096,65536,275.3729782998562,304.47517707943916,0.10568284135669014,A
new,1,4096,608,109.01369154453278,110.31322285407833,0.011920808213477392,B
old,1,4096,608,109.01369154453278,113.2066752324347,0.0384629089107497,B
new,1,4096,2144,112.92499303817749,110.72081191890197,0.019518983884553632,B
old,1,4096,2144,112.92499303817749,120.27969248414713,0.0651290670744888,B
new,1,4096,8384,130.85736520588398,128.16714700328149,0.02055840111383757,B
old,1,4096,8384,130.85736520588398,139.4650688860558,0.0657792831655209,B
new,1,8192,0,193.67288425564766,190.10863453149796,0.018403452490772555,A
old,1,8192,0,193.67288425564766,204.44810390472412,0.055636181030139474,A
new,1,8192,256,194.84899193048477,208.91783945262432,0.07220385069869295,A
old,1,8192,256,194.84899193048477,204.435084015131,0.049197545184458555,A
new,1,8192,1024,198.47762025892735,196.47673517465591,0.01008116220690848,A
old,1,8192,1024,198.47762025892735,214.3827173858881,0.08013546870529528,A
new,1,8192,4096,215.17171524465084,215.56572243571281,0.0018311291082751574,A
old,1,8192,4096,215.17171524465084,231.09463974833488,0.07400101117184307,A
new,1,8192,16384,275.60367062687874,275.5643129348755,0.00014280539846849084,A
old,1,8192,16384,275.60367062687874,306.6272549331188,0.11256593294158562,A
new,1,8192,65536,521.5903390198946,529.4828154146671,0.015131561695722844,A
old,1,8192,65536,521.5903390198946,585.4385662823915,0.12241067843103136,A
new,1,8192,608,197.00185768306255,193.6894143721619,0.016814274493947772,B
old,1,8192,608,197.00185768306255,211.5734032273782,0.07396653877121515,B
new,1,8192,2144,204.43840697407722,202.52191684731557,0.009374413326379859,B
old,1,8192,2144,204.43840697407722,221.15417949792408,0.08176434541463831,B
new,1,8192,8384,234.84424501657486,233.45975531791674,0.005895352890424886,B
old,1,8192,8384,234.84424501657486,250.0200939722139,0.06462091057231559,B
new,1,181,0,26.34899877011776,25.365278124809265,0.037334270417292904,B
old,1,181,0,26.34899877011776,25.991305176700866,0.013575225250021713,B
new,1,181,256,26.017267256975174,24.384441386376107,0.06275931497614569,B
old,1,181,256,26.017267256975174,25.75790961938245,0.009968673305732817,B
new,1,181,4096,27.22618728876114,24.376409926584788,0.10467045319095147,B
old,1,181,4096,27.22618728876114,26.728323527744838,0.01828620936659087,B
new,1,181,2144,26.335814967751503,23.99790017611363,0.08877320844259705,B
old,1,181,2144,26.335814967751503,26.94283029865367,0.023049042972297058,B
new,1,362,0,30.914876610040665,29.919613525271416,0.032193661884000635,B
old,1,362,0,30.914876610040665,31.39701895415783,0.015595803606105041,B
new,1,362,256,30.802424997091293,28.27334702014923,0.08210645678646684,B
old,1,362,256,30.802424997091293,31.408672034740448,0.019681795758171743,B
new,1,362,4096,32.55756199359894,30.85072748363018,0.05242513276345244,B
old,1,362,4096,32.55756199359894,33.470623195171356,0.028044520094960824,B
new,1,362,2144,32.12980553507805,28.59107314777677,0.11013861828195108,B
old,1,362,2144,32.12980553507805,32.06245365713521,0.0020962429377080565,B
new,1,724,0,38.31256367266178,36.636721222631394,0.0437413289371235,B
old,1,724,0,38.31256367266178,80.14449795647975,1.0918594391444356,B
new,1,724,256,38.17777335643768,37.123721633707326,0.027609041336419858,B
old,1,724,256,38.17777335643768,79.48667507979178,1.0820144312158644,B
new,1,724,4096,42.054109275341034,38.66047424174124,0.08069687105677671,B
old,1,724,4096,42.054109275341034,79.14768549944124,0.8820440347752294,B
new,1,724,2144,40.22722691297531,38.45950042099149,0.043943533463243555,B
old,1,724,2144,40.22722691297531,79.00540305305562,0.9639783578413252,B
new,1,1448,0,51.019567996263504,49.79992742019315,0.023905348946891836,B
old,1,1448,0,51.019567996263504,85.04425223556257,0.6668947930290376,B
new,1,1448,256,50.73912627995014,50.31331069767475,0.008392252951420136,B
old,1,1448,256,50.73912627995014,82.98510246940198,0.6355248612586776,B
new,1,1448,4096,57.16164410114288,57.091717878657,0.0012233067047923603,B
old,1,1448,4096,57.16164410114288,83.68642802440351,0.46403115831180747,B
new,1,1448,2144,53.856607526540756,53.16288311986,0.012880952561649705,B
old,1,1448,2144,53.856607526540756,83.85386268280385,0.5569837487717793,B
new,1,2896,0,98.87395799160004,105.79671893718333,0.07001601924514263,B
old,1,2896,0,98.87395799160004,106.27161834023175,0.07481909795964874,B
new,1,2896,256,99.111283197999,105.52064167234626,0.06466830281616875,B
old,1,2896,256,99.111283197999,102.64477397724222,0.035651750892824303,B
new,1,2896,4096,98.02081622183323,111.61044382221331,0.1386402207631599,B
old,1,2896,4096,98.02081622183323,109.52036774753213,0.11731744305897226,B
new,1,2896,2144,99.9688059091568,108.13754703924116,0.0817129008973801,B
old,1,2896,2144,99.9688059091568,106.38159209875313,0.06414787224150431,B
new,1,5792,0,142.76178926229477,140.7392215769505,0.014167430205208578,B
old,1,5792,0,142.76178926229477,149.56955848901998,0.04768621395055065,B
new,1,5792,256,144.9588406831026,151.54125333356205,0.04540883894656269,B
old,1,5792,256,144.9588406831026,149.56857012293767,0.03180026425509628,B
new,1,5792,4096,160.29012016952038,157.76733013626654,0.015738899132309445,B
old,1,5792,4096,160.29012016952038,170.22087260556873,0.061954863004318295,B
new,1,5792,2144,152.9739387333393,148.7335765309467,0.027719507240931546,B
old,1,5792,2144,152.9739387333393,162.0484922609557,0.05932091180207462,B
new,2,2048,0,60.96062436699867,59.30311977863312,0.027189757414342576,A
old,2,2048,0,60.96062436699867,81.44821599125862,0.33607909756500143,A
new,2,2048,2048,62.27278336882591,61.35012023150921,0.014816474989595436,A
old,2,2048,2048,62.27278336882591,81.62801340222359,0.3108136329600293,A
new,2,2048,1216,61.837492510676384,60.62905496061209,0.019542149932027998,B
old,2,2048,1216,61.837492510676384,81.77880755235529,0.32247936053092696,B
new,2,8192,0,183.86797234416008,182.2351347655058,0.008880489395934488,A
old,2,8192,0,183.86797234416008,192.9344516247511,0.04930972569611292,A
new,2,8192,2048,188.15652653574944,186.11114844679832,0.01087061993867373,A
old,2,8192,2048,188.15652653574944,204.55568470060825,0.0871569988391713,A
new,2,8192,1216,186.47419661283493,186.95497003894437,0.0025782303119805763,B
old,2,8192,1216,186.47419661283493,199.11479648988876,0.06778739421679206,B
new,4,2048,4096,62.22259998321533,61.30664236843586,0.014720658008931702,A
old,4,2048,4096,62.22259998321533,80.22559247910976,0.2893320513888969,A
new,4,2048,2432,61.67234852910042,60.482387595766106,0.019294885985618383,B
old,4,2048,2432,61.67234852910042,81.92522839481617,0.3283948211597508,B
new,4,8192,0,177.4451769888401,177.8949275612831,0.002534588880211121,A
old,4,8192,0,177.4451769888401,188.7909360229969,0.06393951769605075,A
new,4,8192,4096,183.86214785277843,182.94629640877247,0.004981185386452159,A
old,4,8192,4096,183.86214785277843,199.8048722743988,0.08671020439936328,A
new,4,8192,2432,183.05369280278683,182.15395146983576,0.00491517717656974,B
old,4,8192,2432,183.05369280278683,192.3664293387714,0.0508743439883383,B
new,6,1014,0,41.90206155180931,40.95231375146297,0.02266589674047516,C
old,6,1014,0,41.90206155180931,80.80711071529696,0.9284757771496268,C
new,6,1830,0,57.284560054540634,55.97356502567568,0.022885661120845703,C
old,6,1830,0,57.284560054540634,87.70429415087546,0.5310285017004964,C
new,6,2214,0,101.48120298981667,108.77052511206386,0.07182928372438255,C
old,6,2214,0,101.48120298981667,97.8798704248233,0.035487681057099346,C
new,6,4038,0,102.87456586956978,101.23225123247083,0.01596424367108551,C
old,6,4038,0,102.87456586956978,110.45953552964319,0.0737302713839888,C
new,8,1024,0,41.979800909757614,40.92815704643726,0.025051187488502616,C
old,8,1024,0,41.979800909757614,79.45240288972855,0.8926341042094117,C
new,8,1856,0,57.10037611424923,56.45463615655899,0.011308856467043419,C
old,8,1856,0,57.10037611424923,83.13686400651932,0.45597752001098923,C
new,8,2304,0,97.85572811961174,108.39857080879447,0.10773863617156809,C
old,8,2304,0,97.85572811961174,98.50057758460059,0.006589797831769587,C
new,8,4096,0,101.24458931386471,100.99254734814167,0.002489436397847311,C
old,8,4096,0,101.24458931386471,110.85954681038857,0.09496761813825796,C
new,8,8192,0,176.73545330762863,177.8949275612831,0.006560507424824832,C
old,8,8192,0,176.73545330762863,188.7909360229969,0.06821202248755545,C
new,12,1056,0,43.4271190315485,41.91933572292328,0.03471985575487662,C
old,12,1056,0,43.4271190315485,80.24446107447147,0.8477960975531506,C
new,12,1836,0,56.497180834412575,56.08458144049491,0.007303008536425084,C
old,12,1836,0,56.497180834412575,86.65027180987019,0.5337096564841567,C
new,12,2220,0,98.14699366688728,108.74572815851258,0.10798837636940359,C
old,12,2220,0,98.14699366688728,97.92125090214178,0.002300047676566434,C
new,12,4044,0,101.03303380310535,101.20745427891954,0.001726370764576869,C
old,12,4044,0,101.03303380310535,110.50091600696169,0.09371075822891234,C
new,12,8076,0,174.03892241418362,175.71702812165313,0.009642128807692229,C
old,12,8076,0,174.03892241418362,186.5838947269367,0.07208141798820235,C
new,16,1024,0,42.45777055621147,40.92815704643726,0.03602670346878186,C
old,16,1024,0,42.45777055621147,79.45240288972855,0.8713277180802148,C
new,16,1808,0,56.810786947607994,55.58455657334097,0.02158446379906476,C
old,16,1808,0,56.810786947607994,86.24295211367068,0.5180735340491868,C
new,16,2304,0,99.07963313162327,108.39857080879447,0.09405502808827901,C
old,16,2304,0,99.07963313162327,98.50057758460059,0.005844344884214747,C
new,16,4096,0,101.24709643423557,100.99254734814167,0.002514137146236518,C
old,16,4096,0,101.24709643423557,110.85954681038857,0.09494050412000407,C
new,16,8192,0,175.0139445066452,177.8949275612831,0.01646144861633308,C
old,16,8192,0,175.0139445066452,188.7909360229969,0.07871939321857062,C
new,24,984,0,42.649480514228344,40.560489700686546,0.04898045154019842,C
old,24,984,0,42.649480514228344,79.52997731345314,0.8647349593606669,C
new,24,1920,0,58.59784688800573,57.5791671872139,0.017384251382798626,C
old,24,1920,0,58.59784688800573,82.4400782585144,0.4068789663223767,C
new,64,1024,0,45.26723362505436,40.92815704643726,0.09585468850509826,C
old,64,1024,0,45.26723362505436,79.45240288972855,0.7551857387139622,C
new,6,2022,1152,60.785386711359024,59.762068801035404,0.016834932961484167,C
old,6,2022,1152,60.785386711359024,83.4191768780583,0.3723557814014807,C
new,6,2022,18432,67.85430386662483,68.31273117471908,0.00675605351423741,C
old,6,2022,18432,67.85430386662483,82.60622973744847,0.21740589808157473,C
new,6,2022,589824,305.1119800657034,320.63601667180455,0.05087980027122562,C
old,6,2022,589824,305.1119800657034,354.3759031154194,0.1614617788495471,C
new,8,2048,1536,60.61685457825661,60.251052789055876,0.0060346547465355395,C
old,8,2048,1536,60.61685457825661,82.29974304600432,0.3577039524503044,C
new,8,2048,24576,68.76077689230442,74.6772026855154,0.08604361469733673,C
old,8,2048,24576,68.76077689230442,85.32794858595463,0.2409392744296404,C
new,8,2048,786432,326.58673264086246,482.58504884731786,0.4776627481006769,C
old,8,2048,786432,326.58673264086246,523.7795011047677,0.6037990792502652,C
